suhdude,2020-01-30 12:25:43,Island Boi,Wow,0
suhdude,2020-01-30 12:25:40,Island Boi,lmapoo,0
suhdude,2020-01-30 12:24:18,👀,"I do, my caricature at Damian’s wedding was elongated and then I knew ",7
suhdude,2020-01-30 12:22:49,™️,What a chiseled bust,1
suhdude,2020-01-30 12:22:37,™️,Ok that’s hot af,1
suhdude,2020-01-30 12:22:29,™️,Did you take that picture on a game boy,2
suhdude,2020-01-30 12:22:21,Island Boi,,6
suhdude,2020-01-30 12:21:50,Island Boi,,2
suhdude,2020-01-30 12:21:15,Steed,Hah! ,0
suhdude,2020-01-30 12:21:06,™️,,6
suhdude,2020-01-30 12:21:05,👀,LOL,6
suhdude,2020-01-30 12:20:23,™️,Ok I know we said Zach has a long head but damn Daniel,7
suhdude,2020-01-30 12:20:01,GroupMe,™️ changed their avatar,0
suhdude,2020-01-30 12:19:41,Island Boi,,7
suhdude,2020-01-30 12:19:17,™️,Everyone knows that’s when you go for the hand hold ,3
suhdude,2020-01-30 12:19:12,Steed,@™️ With the eternal positive outlook ,1
suhdude,2020-01-30 12:19:06,™️,"Or, dare I say it, third? ",1
suhdude,2020-01-30 12:18:52,™️,Does that mean you have second dates ,2
suhdude,2020-01-30 12:18:38,™️,Oh :(,2
suhdude,2020-01-30 12:18:33,™️,You suave boy,1
suhdude,2020-01-30 12:18:32,👀,Not enough 😢,5
suhdude,2020-01-30 12:18:06,👀,It has magical powers that are still being revealed to me ,4
suhdude,2020-01-30 12:18:06,™️,How many first dates do you have ,1
suhdude,2020-01-30 12:17:55,👀,@Zeke Bogoioff I wear that shirt on all my first dates now ,2
suhdude,2020-01-30 12:14:14,™️,“What’s the best thing about meeting the president?”,0
suhdude,2020-01-30 12:13:53,™️,Forrest?,0
suhdude,2020-01-30 12:13:22,Island Boi,,6
suhdude,2020-01-30 12:12:50,Zeke Bogoioff,that’s...concerning ,5
suhdude,2020-01-30 12:12:47,Steed,Dan @👀 has got fucking game ,1
suhdude,2020-01-30 12:12:05,™️,Zen af,0
suhdude,2020-01-30 12:12:03,™️,That high testosterone girl did Bikram with us last week and she said her main concern was closing her eyes cuz she wanted to have eyes on both exits in the event a shooter came in ,4
suhdude,2020-01-30 12:11:13,Zeke Bogoioff,how’s that shirt treatin you @👀 ,4
suhdude,2020-01-30 12:11:09,™️,We are breaching new ground ,5
suhdude,2020-01-30 12:11:02,™️,I’ve never seen a double photo post before ,1
suhdude,2020-01-30 12:10:43,Island Boi,,8
suhdude,2020-01-30 12:10:39,Zeke Bogoioff,Fucking handsome devils ,0
suhdude,2020-01-30 12:10:36,Zeke Bogoioff,we each need a picture like those for the cover of our book ,4
suhdude,2020-01-30 12:09:47,Zeke Bogoioff,woah,0
suhdude,2020-01-30 12:09:32,Island Boi,,6
suhdude,2020-01-30 12:08:44,Steed,As dubbed by our under classmates haha ,0
suhdude,2020-01-30 12:08:30,Steed,The Bay man!! ,3
suhdude,2020-01-30 12:07:55,™️,"Zedd you aren’t a man, you’re a Bayman",4
suhdude,2020-01-30 12:07:30,Steed,"Colorado, for a weekend of boarding with Florida buds ",6
suhdude,2020-01-30 12:07:20,Zeke Bogoioff,what Tint,0
suhdude,2020-01-30 12:07:09,Zeke Bogoioff,where you off to Steedo,0
suhdude,2020-01-30 12:07:06,Island Boi,What?,4
suhdude,2020-01-30 12:06:48,Zeke Bogoioff,Am I a man @👀  ? ,3
suhdude,2020-01-30 11:42:12,Steed,"I fucking love airport bars, always open, and always full, no matter the time of day ",0
suhdude,2020-01-30 11:08:14,🤬,Oh gotcha I remember her. Once you beat the divine beast lemme know what you think of the power,2
suhdude,2020-01-30 11:03:55,8558290,Oh word didn’t know there was a beast there. Impa is the matriarch of the sheikas. She was kinda grandma looking chilling in her nice house. She knew about link being put to sleep 100 years ago,2
suhdude,2020-01-30 10:54:13,🤬,@8558290 ,0
suhdude,2020-01-30 10:45:36,🤬,"I recommend you beat the divine beast there as soon as you can, you'll really enjoy the power up it gives you",1
suhdude,2020-01-30 10:44:56,🤬,Kakariko Village is sick. Is impa the bird spirit? ,0
suhdude,2020-01-30 09:56:48,8558290,I assume I have to eventually go back to her and answer yes to progress with the story ,3
suhdude,2020-01-30 09:56:27,8558290,Such a cool place. There’s an interesting lake just to the west of the village I want to check out. I met with Impa and she’s asking me if I’m ready to sacrifice myself . I said I’m not sure yet so she’s giving me some time to figure out that question. ,4
suhdude,2020-01-30 09:55:39,8558290,I finally made it to Kakariko Village @🤬 ,0
suhdude,2020-01-30 09:30:09,8558290,A mature 8 year old?,0
suhdude,2020-01-30 09:28:20,™️,What about an 8 year old?,0
suhdude,2020-01-30 09:28:00,8558290,Ah nothing like a 9 year old girl to warm your bed chambers ,2
suhdude,2020-01-30 09:27:28,™️,Gandhi slept in beds with 9 year old girls ,1
suhdude,2020-01-30 09:27:11,8558290,Did Gandhi JO?,0
suhdude,2020-01-30 09:26:58,8558290,Do you think Jedi’s JO,0
suhdude,2020-01-30 09:16:12,™️,I want more ,2
suhdude,2020-01-30 09:15:53,Zeke Bogoioff,Ain’t it ?,0
suhdude,2020-01-30 09:07:00,™️,I finished mandalorian yesterday. It was righteous af,5
suhdude,2020-01-30 09:06:45,™️,This is the way,0
suhdude,2020-01-30 09:06:26,Zeke Bogoioff,I am ready for the trials ,5
suhdude,2020-01-30 09:05:46,™️,When I finish your training ,3
suhdude,2020-01-30 09:05:29,™️,I would assume yes ,1
suhdude,2020-01-30 09:05:13,Zeke Bogoioff,will an under 30 year old win a major ever again ,0
suhdude,2020-01-30 08:42:23,Island Boi,Bruh Nole playng strong,2
suhdude,2020-01-30 08:27:13,8558290,She’s 1.82m tho ,0
suhdude,2020-01-30 08:26:56,8558290,Also Garbiñe 👀👀 little Spanish Venezuelan combo na ba,0
suhdude,2020-01-30 08:26:22,8558290,Fed got whooped by your boy @Island Boi ,0
suhdude,2020-01-30 06:47:42,8558290,Star Wars. Didn’t grow up with LOTR so it doesn’t really make it move ,2
suhdude,2020-01-30 01:27:58,👀,,6
suhdude,2020-01-30 01:25:56,👀,Also those pics make me miss a man called zod ,6
suhdude,2020-01-30 01:25:44,👀,Lotr ,1
suhdude,2020-01-30 00:45:37,™️,https://www.youtube.com/watch?v=cXXPRImhn_E&feature=share,0
suhdude,2020-01-29 23:56:17,Zeke Bogoioff,LOTR ,2
suhdude,2020-01-29 23:39:56,🤬,LOTR all day,2
suhdude,2020-01-29 23:16:29,Zeke Bogoioff,always humbles me,0
suhdude,2020-01-29 23:16:15,Zeke Bogoioff,tinto keeps me in check,4
suhdude,2020-01-29 23:01:49,Steed,I gotta go with LOTR ,1
suhdude,2020-01-29 22:50:59,Island Boi,Star Wars personally,1
suhdude,2020-01-29 22:29:55,Steed,If you had to pick one ,0
suhdude,2020-01-29 22:29:38,Steed,LOTR or Star Wars?,0
suhdude,2020-01-29 22:23:13,🤬,You fulfill it well,3
suhdude,2020-01-29 21:13:47,Island Boi,Just have a duty I must fufill,3
suhdude,2020-01-29 21:08:12,Steed,I love how @Island Boi randomly drops old pics of fellow crows ,3
suhdude,2020-01-29 20:20:25,Island Boi,,7
suhdude,2020-01-29 20:20:15,Island Boi,or this,0
suhdude,2020-01-29 20:20:10,Island Boi,,6
suhdude,2020-01-29 20:20:00,Island Boi,Should carve it like this,0
suhdude,2020-01-29 20:15:59,Island Boi,Id put @Zeke Bogoioff he's a true rocker,3
suhdude,2020-01-29 18:06:10,Steed,I like muddy as a choice as well ,0
suhdude,2020-01-29 18:05:47,Steed,I was thinking chuck too ,0
suhdude,2020-01-29 18:03:46,™️,Yeah it depends what you define as classic rock ,0
suhdude,2020-01-29 18:03:35,8558290,But like your names ,0
suhdude,2020-01-29 18:03:20,8558290,Ooh I think Led Zeppelin has to have a representative on there ,0
suhdude,2020-01-29 17:59:38,™️,Or something like that ,0
suhdude,2020-01-29 17:59:35,™️,"I feel like it could include Muddy Waters, chuck berry, buddy holly, Elvis ",0
suhdude,2020-01-29 17:58:46,8558290,So many options. ,1
suhdude,2020-01-29 17:58:37,8558290,"Got Morrison, Freddie Mercury, the dude from the doors, kiss ",0
suhdude,2020-01-29 17:56:17,8558290,Interested to hear Z’s thoughts ,1
suhdude,2020-01-29 17:47:20,Steed,"So I’m saying if this monument was built, I think it should include one of the pioneers in blues who were on the forefront of evolving it into rock and roll ",1
suhdude,2020-01-29 17:26:25,8558290,He must be a racist ,2
suhdude,2020-01-29 17:26:22,8558290,Clapton is very Blues/southern rock influenced ,1
suhdude,2020-01-29 17:25:20,Steed,None*,0
suhdude,2020-01-29 17:25:16,Steed,Non come to mind though haha ,0
suhdude,2020-01-29 17:25:05,Steed,I would include one of the major blues artists who helped define the genera in its early stages ,0
suhdude,2020-01-29 17:22:19,8558290,And Eric Clapton ,1
suhdude,2020-01-29 17:22:16,8558290,"I would say Jagger, Paige (maybe Plante), pick a Beatle even though I don’t love them you can’t leave Beatles off  ",1
suhdude,2020-01-29 17:20:46,8558290,"On a different subject, which bands, or individual artists would you place on the Mount Rushmore of Classic Rock",3
suhdude,2020-01-29 16:34:17,Steed,"I’ll leave you with this, Republicans aren’t racist, never have been, in fact quite the opposite, southern democrats were, moved away from that, but time and again it can be shown that democrat lead policies most adversely affect the racial minority groups they espouse to want to help. ",0
suhdude,2020-01-29 16:28:28,™️,"Bullock, Charles S.; Hoffman, Donna R.; Gaddie, Ronald Keith (2006). ""Regional Variations in the Realignment of American Politics, 1944–2004"". Social Science Quarterly. 87 (3): 494–518. doi:10.1111/j.1540-6237.2006.00393.x. ISSN 0038-4941. The events of 1964 laid open the divisions between the South and national Democrats and elicited distinctly different voter behavior in the two regions. The agitation for civil rights by southern blacks, continued white violence toward the civil rights movement, and President Lyndon Johnson's aggressive leadership all facilitated passage of the 1964 Civil Rights Act. [...] In the South, 1964 should be associated with GOP growth while in the Northeast this election contributed to the eradication of Republicans.",3
suhdude,2020-01-29 16:27:44,™️,"Miller, Gary; Schofield, Norman (2003). ""Activists and Partisan Realignment in the United States"". American Political Science Review. 97 (2): 245–60. doi:10.1017/S0003055403000650. ISSN 1537-5943. By 2000, however, the New Deal party alignment no longer captured patterns of partisan voting. In the intervening 40 years, the Civil Rights and Voting Rights Acts had triggered an increasingly race-driven distinction between the parties. [...] Goldwater won the electoral votes of five states of the Deep South in 1964, four of them states that had voted Democratic for 84 years (Califano 1991, 55). He forged a new identification of the Republican party with racial conservatism, reversing a century-long association of the GOP with racial liberalism. This in turn opened the door for Nixon's ""Southern strategy"" and the Reagan victories of the eighties.",3
